,FF,Runout_Full,Matchups
5523,72.808499213,4s 2s 2h 5d As,64.386139664
5536,37.517538021,4s 2s 2h 6d Ac,16.187292676
5548,37.36067887,4s 2s 2h 6d Ad,13.640044225
5560,36.955220941,4s 2s 2h 6d Ah,29.003554184
5571,55.664797898,4s 2s 2h 6d As,71.675275995
5584,39.808070417,4s 2s 2h 7d Ac,45.019908993
5596,39.743684664,4s 2s 2h 7d Ad,46.978505113
5608,38.658834157,4s 2s 2h 7d Ah,47.00551618
5619,61.907521332,4s 2s 2h 7d As,44.431835654
5632,39.293561764,4s 2s 2h 8d Ac,15.44152279
5644,39.618740224,4s 2s 2h 8d Ad,15.789751862
5656,41.198472634,4s 2s 2h 8d Ah,32.556516493
5667,54.47517639,4s 2s 2h 8d As,26.116036975
5680,32.111199895,4s 2s 2h 9d Ac,15.779482901
5692,32.185048097,4s 2s 2h 9d Ad,15.341015428
5704,34.035788503,4s 2s 2h 9d Ah,29.62988066
5715,48.266251032,4s 2s 2h 9d As,27.088988668
5728,29.257112854,4s 2s 2h Td Ac,23.678622919
5740,29.558967379,4s 2s 2h Td Ad,23.905157664
5752,28.471674359,4s 2s 2h Td Ah,11.860206875
5763,32.546139334,4s 2s 2h Td As,0.61575526887
5776,30.309905785,4s 2s 2h Jd Ac,14.648858746
5788,28.464568383,4s 2s 2h Jd Ad,15.621098184
5800,26.638551544,4s 2s 2h Jd Ah,7.9383019657
5811,28.951844328,4s 2s 2h Jd As,0.014993230811
5824,27.419447512,4s 2s 2h Qd Ac,30.749505358
5836,27.672603579,4s 2s 2h Qd Ad,35.098460179
5848,26.608462583,4s 2s 2h Qd Ah,0.356760545
5859,33.384935808,4s 2s 2h Qd As,0.0067313360922
5872,27.640138935,4s 2s 2h Kd Ac,0.44667696063
5884,11.565375741,4s 2s 2h Kd Ad,0.53754968749
5896,12.6087905,4s 2s 2h Kd Ah,0.47060811393
5907,8.7824426341,4s 2s 2h Kd As,0.29533693808
5968,62.483631616,4s 2s 2h 3h Ac,11.129567555
5981,62.483631616,4s 2s 2h 3h Ad,11.129567515
5992,62.3611122,4s 2s 2h 3h Ah,5.5040266173
6003,76.288259209,4s 2s 2h 3h As,75.941814527
6016,31.592934701,4s 2s 2h 4h Ac,203.88351214
6029,31.592934701,4s 2s 2h 4h Ad,203.88351214
6040,34.154640693,4s 2s 2h 4h Ah,220.52379264
6051,75.352274489,4s 2s 2h 4h As,76.62170129
6064,73.723182243,4s 2s 2h 5h Ac,27.061139686
6077,73.723182243,4s 2s 2h 5h Ad,27.061143504
6088,69.057440098,4s 2s 2h 5h Ah,25.824106087
6099,78.517338826,4s 2s 2h 5h As,81.928843671
6112,69.383240334,4s 2s 2h 6h Ac,54.518614615
6125,69.383240334,4s 2s 2h 6h Ad,54.518614615
6136,62.812716534,4s 2s 2h 6h Ah,36.486323312
6147,76.976582945,4s 2s 2h 6h As,0.9260056656
6160,75.014714777,4s 2s 2h 7h Ac,54.079908929
6173,75.014714777,4s 2s 2h 7h Ad,54.079908929
6184,71.073746265,4s 2s 2h 7h Ah,13.360807636
6195,63.560794463,4s 2s 2h 7h As,48.053389803
6208,64.127219558,4s 2s 2h 8h Ac,43.198030839
6221,64.127219558,4s 2s 2h 8h Ad,43.198030839
6232,65.551953762,4s 2s 2h 8h Ah,14.652451584
6243,55.441835901,4s 2s 2h 8h As,21.493794068
6256,56.717599579,4s 2s 2h 9h Ac,42.612934426
6269,56.717599579,4s 2s 2h 9h Ad,42.612934426
6280,57.66020234,4s 2s 2h 9h Ah,7.7758163598
6291,57.444032091,4s 2s 2h 9h As,52.716225498
